W;A;Y
0.068029534;0;1
-1.114287767;0;0
-1.222449834;0;1
-0.393691967;0;0
0.552777793;1;0
-0.390053613;0;0
0.656249494;1;1
0.051683135;1;0
-0.764769229;0;0
-0.461455803;0;0
0.717218433;1;0
0.680776727;0;1
1.270816535;1;1
-0.812845876;0;1
1.55458848;1;1
0.501154989;1;1
0.11037037;1;1
0.466298477;0;1
-0.074936789;0;1
-0.147984616;0;1
-0.968172745;0;0
-0.579166831;0;1
1.240138072;1;1
0.273897156;0;1
-0.13099588;1;1
-0.440029665;0;0
-1.012741899;0;0
-0.587496144;0;1
-1.386368238;0;0
0.712564851;0;1
-0.210957455;0;0
1.25560882;1;1
-1.973164871;0;1
-0.135088555;0;1
1.088545676;0;0
-2.094642878;0;0
-1.854308111;0;0
-1.429935519;0;0
-0.828542202;0;0
0.132752658;1;1
-0.455238504;0;1
1.340446368;1;1
2.310274195;1;1
-3.278519718;0;0
-0.003124819;0;1
-1.678497046;0;1
0.509678874;0;1
-0.207639576;0;0
0.648625787;1;1
-0.800958547;0;0
-0.20582782;0;0
-0.638076927;0;0
2.05058734;1;1
1.561495729;1;1
-0.104350036;0;0
0.549424133;1;1
0.737538542;1;1
0.496111081;1;0
0.200998163;0;0
-0.176862833;0;0
-1.158879154;0;0
0.528274259;0;1
0.324092268;0;0
-1.568643185;0;0
-0.33139657;0;1
-0.155067566;0;0
-0.824392575;0;0
0.289748803;1;1
2.035079017;1;1
1.72400401;1;1
-0.273550539;0;0
1.722734734;1;1
0.539581564;1;1
2.256134576;1;1
-0.717839526;0;0
-0.901846694;0;1
0.438475266;1;1
1.160772233;0;1
-2.417757848;0;0
-1.929419909;0;0
-0.614033554;0;0
-1.740367272;0;1
-1.471473245;0;1
-0.766227883;0;0
0.372885074;1;1
-0.106017293;1;0
-1.335628718;0;0
-0.655623496;1;1
-1.658376117;0;0
1.02840877;1;1
-0.117844222;0;1
1.196360998;0;1
-0.651163392;0;0
-1.18401659;0;1
-0.066794504;0;0
-1.253005175;0;0
-0.412828678;0;0
-1.080586173;0;0
-0.337016869;0;0
0.227849289;1;1
0.516348932;1;1
2.156017809;1;1
0.647572192;1;1
-1.826177075;0;0
-0.207467319;1;0
0.390391067;0;1
-0.001237993;0;1
1.050391028;1;1
-0.005011243;1;1
-1.109249107;0;1
-0.645728511;0;1
-0.031950185;0;0
-0.613114567;0;0
-0.113990918;1;1
-0.573583613;0;0
1.818731329;1;1
-0.277141895;0;0
0.534266218;1;1
0.065515224;0;1
1.302496626;1;1
-0.95274471;0;0
0.502488174;0;0
-0.415469657;1;0
0.082263011;0;1
-0.450308101;0;1
0.744228284;1;1
1.274667869;1;1
-0.697413523;1;1
0.271930668;0;1
0.701051555;0;1
-0.52176717;0;0
-0.184848933;0;1
0.511863457;0;0
-0.732341649;0;1
0.542948943;0;1
-0.608775244;0;0
-0.3450445;0;0
0.547303458;0;0
-0.782020264;0;0
0.397816505;1;1
0.105570386;0;0
0.062575021;0;1
0.141356416;1;1
1.925996397;1;1
-0.795265948;0;0
-1.998303769;0;0
0.53242082;0;0
1.76221517;1;1
0.776739445;0;1
-0.283992487;0;1
0.327344149;1;1
2.025816213;1;1
0.698847037;1;1
0.953089019;1;1
-0.368067442;0;1
0.071532848;0;0
1.795268996;1;1
-0.323278955;0;1
-0.429241694;0;1
-0.256223639;0;0
0.513215916;0;1
0.869949073;1;1
0.871672166;1;1
-0.787798951;0;0
-0.361649034;0;0
1.958866161;1;1
-1.186602101;0;0
-0.170062324;0;1
-1.196383087;0;0
-0.66555721;0;1
1.621481352;1;1
-0.24123963;0;0
0.10482802;1;1
-0.917546018;0;0
-0.651316743;0;0
1.244696391;1;1
-1.186349299;0;0
1.67520087;1;1
0.343247142;1;0
-0.017835067;0;0
-0.458854776;0;0
-0.764360221;0;0
-1.160738684;1;0
0.468921194;0;0
-0.522187335;0;0
0.481802568;1;1
-0.357086844;1;1
1.593363345;1;1
0.79880669;0;1
-2.35056002;0;0
-0.241963364;0;0
-0.285220283;0;1
-0.40706644;0;0
0.465382855;0;0
-0.556582697;0;0
0.395246883;1;0
0.315112933;0;1
0.027038389;0;1
-0.454900826;0;1
-0.770586454;0;0
0.147130262;0;0
-1.461037263;0;0
0.416265353;0;1
0.372556963;0;0
-0.053429119;1;1
-0.315058468;0;0
0.046017116;1;1
-0.826939944;0;0
-0.689449686;0;1
0.208922323;0;1
-0.478608588;0;0
-0.090382605;0;0
-0.995402339;0;0
-1.956601852;0;0
1.075121914;0;1
0.421945454;1;1
-0.902862745;0;0
1.632608196;1;1
0.548836524;1;1
-1.501449851;0;0
1.008542262;1;1
-0.821137748;0;0
-0.051171564;0;1
1.353222005;0;1
-0.008648277;0;0
1.537411761;1;1
1.790370453;0;1
-0.065582239;0;1
0.943733914;1;1
0.759906022;1;1
1.130454689;1;1
0.661523974;0;1
-1.158730623;0;0
-0.52070153;0;0
0.104672349;0;1
-0.421629147;0;0
-1.574988469;0;0
0.676013708;1;0
-0.339394118;0;0
-1.305089791;0;0
0.872850518;0;1
-2.742760828;0;0
0.106039712;0;1
-1.696893867;0;0
-0.326237789;0;0
0.79331174;0;1
-0.919082647;0;0
-0.144319254;0;0
-0.105831455;1;1
-0.877516131;0;0
1.018524023;1;1
-0.248914773;0;0
-0.810694376;0;0
-0.401293433;0;1
-1.697998374;0;1
0.849951937;0;1
-0.908297727;0;1
2.091828633;1;1
0.060034129;1;0
0.6368097;0;0
0.495268867;1;1
-0.570195146;0;0
-0.912542524;0;0
-0.303876732;0;0
-1.298671944;0;0
-0.651824405;0;1
1.119404408;1;1
-0.718019826;0;1
1.652144119;1;1
0.43955083;0;0
-0.648794628;0;1
0.173928142;0;1
-2.023846685;0;0
1.026151632;0;0
1.465381973;1;1
0.244585191;0;0
0.299894486;1;0
-0.180666746;0;1
0.360020547;0;1
-1.312838637;0;0
-0.506079326;0;1
0.438947679;1;0
-0.252791098;0;0
-1.221480428;0;1
-1.177774479;0;1
0.419517034;0;1
-1.794097661;0;0
0.017111175;0;1
0.722174819;1;1
1.366070631;1;1
1.183508118;0;1
1.689292784;0;1
-0.880297915;0;0
-0.536215328;1;1
-0.109258807;0;1
2.107489131;1;1
0.544772529;1;1
0.906364144;0;1
0.370557199;0;0
0.052214431;1;1
0.468155086;0;1
0.026001248;0;0
-0.243469831;1;1
0.056328274;1;1
-0.425301234;1;0
-0.531847691;0;0
0.14402501;0;0
0.470405307;0;0
-2.134777998;0;0
-0.570873115;0;1
0.077746789;1;1
-1.038968562;0;0
-0.706201774;0;1
-0.53345324;0;0
-1.004606803;0;1
-0.154453757;0;1
0.573427007;1;1
-0.076332078;1;0
-0.03779189;0;1
0.367256583;0;1
-0.217419811;0;0
1.170285302;1;1
0.577044394;1;1
-0.22501011;0;0
1.260568142;1;0
0.562712141;0;0
-0.248106338;0;0
-0.205065474;0;0
-0.844748274;0;0
-0.633194554;0;0
0.269004359;0;0
1.144097623;1;1
-0.292231737;0;0
-0.311333372;0;0
-1.59624748;0;1
-0.69366779;0;1
1.570672473;1;1
0.988478136;0;0
0.224492197;1;1
1.484909965;1;1
-1.97356627;0;0
-0.7016625;0;0
-1.506870483;0;0
-0.579370999;0;0
-0.223121528;1;0
-1.151852551;0;0
0.026735172;1;1
0.013949666;1;1
0.3898169;1;1
0.196195109;0;0
-1.648945587;0;0
-0.627890968;0;0
-0.367218348;0;0
0.444763371;1;0
0.685707136;1;1
0.225907979;1;1
-1.098042281;0;0
0.488140982;1;0
-1.122947431;0;1
-1.049998388;0;0
-0.853494675;0;0
-0.278477985;1;0
-0.171567364;0;0
-0.208428549;0;1
-0.668431776;0;0
0.171810504;1;1
0.67464118;0;1
-0.699114046;0;1
1.343245152;0;1
0.620849283;1;1
1.49630514;1;1
-0.069221215;0;1
-2.109761532;0;0
-0.540196881;0;0
-0.522802282;0;0
-0.307023748;0;1
1.842931099;1;0
-0.051554968;0;1
-2.065470695;0;0
-0.338663339;0;1
-0.170088065;1;1
0.269873277;1;0
0.4369155;1;1
-1.614882877;0;0
2.505981908;1;1
-2.17325081;0;0
0.759622505;0;1
0.782138742;1;1
0.215719083;1;0
1.727253289;1;1
-0.158070791;0;1
-0.235165864;1;1
0.701406784;1;0
-1.012280084;0;0
0.562865906;0;1
0.341839782;1;1
0.247185919;0;0
-0.246494566;0;1
-3.047817291;0;0
0.49532916;0;1
-0.089699483;0;0
0.55441654;0;1
1.306008362;1;1
0.106117967;0;0
1.432403826;1;1
0.792854212;1;1
-0.207101891;0;1
0.397441621;1;1
0.540272168;1;1
-0.573600401;0;0
-0.60562476;0;0
1.041854999;1;1
-0.626795882;0;0
0.903176041;0;1
1.38722439;1;1
-0.15296558;0;0
1.45853875;1;1
0.164702924;0;1
-0.451456937;0;0
0.677159425;1;1
0.019630445;0;0
-0.823291702;0;1
1.440425842;1;1
-0.344185721;0;0
1.43529556;1;1
-0.623906759;0;1
-1.50423945;0;0
-1.381779679;0;0
1.812886468;1;1
-1.078067083;0;1
-0.850183477;0;0
0.14504693;1;1
0.468015896;1;1
-0.543349906;0;0
-1.815350779;0;0
-1.074824554;0;1
-0.656344396;0;0
-1.198327482;0;0
-0.941056931;0;0
-1.475540643;0;0
0.869591557;0;1
-0.59166239;0;0
-1.661566447;0;1
0.49303618;1;0
-2.324209879;0;0
-0.181999949;1;0
-0.388458974;1;1
1.54645737;1;1
-0.231670867;0;0
-0.283832392;1;1
-1.531294722;0;0
-1.511773589;0;0
-0.423806215;0;1
1.503943757;1;1
0.768099631;1;1
1.525876366;1;1
0.939303973;1;1
-0.398603957;0;0
-1.934947928;0;0
0.87253447;1;1
1.597613952;1;1
-0.819772889;0;1
-0.118934714;0;0
2.02682528;1;1
0.730494407;0;0
-0.824579172;0;0
-2.366362558;0;0
0.915226515;1;0
-1.403744551;0;0
1.23903608;1;1
1.29282446;1;1
-0.311699929;0;1
0.719639558;0;1
0.601826672;0;1
1.650426456;0;1
0.587384414;0;1
-0.625848229;0;1
1.053951917;0;1
1.480497702;0;1
0.741355496;1;1
-1.807404579;0;0
1.02554775;0;1
0.474495828;1;0
-2.039737001;0;0
-0.19046362;0;0
-0.549761462;1;0
-0.224594051;0;0
-2.556244529;0;1
-1.280398542;0;1
-2.001788181;0;0
-1.070809241;0;1
0.198626529;0;0
-0.923424979;0;0
1.404238108;1;1
-0.867329111;0;0
0.799097766;1;0
0.023546902;0;1
1.16229645;1;1
0.13032862;0;1
0.380169;0;1
-0.988809861;0;0
0.006707928;0;0
-0.939231636;0;0
-0.000349398;1;1
1.602408349;1;1
0.176539409;0;0
-0.000874033;0;0
-0.602725043;0;0
-1.465783354;0;0
-0.256610305;0;0
0.780390004;1;1
0.943228096;0;1
-1.160583523;0;1
-2.755798464;0;0
-0.244781529;1;1
-0.451127371;0;0
-0.48232874;0;0
0.168341259;0;0
1.236691433;1;1
-0.247310779;1;1
-1.171462838;0;1
-1.381992123;0;0
0.819487172;0;0
-0.533419964;0;0
-0.998979095;0;0
-0.260754615;0;1
-1.842812333;0;0
0.971451832;0;1
1.403344234;0;1
0.103560712;0;1
1.112802293;1;1
1.867549218;1;1
1.631965084;1;1
1.088015498;1;1
-0.250514903;0;0
3.259906431;1;1
-0.040538024;0;1
-0.289760243;0;0
0.370668335;1;1
1.118245198;1;1
0.022056687;0;1
0.187564327;1;1
-0.68832069;0;0
0.37199879;0;1
0.108168441;0;1
0.116632511;0;1
1.294992058;1;1
-0.930130713;0;1
-0.585943582;0;0
0.929188137;0;1
1.218546425;1;1
-0.19669596;1;1
-0.194107689;0;1
0.210001529;0;0
-1.037488452;0;0
-1.373629516;0;0
2.161287757;1;1
0.346855229;0;1
-0.242082348;0;0
-0.984416446;0;0
0.150671374;0;1
0.808130802;0;0
0.083141584;1;1
-0.211959533;1;1
0.542132146;1;1
0.73670633;1;1
0.271692103;1;1
0.404459679;0;1
-0.263143804;0;0
2.123058504;1;1
-0.307088215;0;1
-1.288953824;0;0
-1.370138486;0;0
0.21753812;0;1
-1.474498736;0;0
-0.864698458;0;0
-0.31336986;0;0
-1.366831733;0;1
-1.584271604;0;0
2.114449767;1;1
-0.209909124;0;1
-1.054506118;0;0
1.97528824;1;1
0.926849196;0;0
-0.406247041;1;1
2.019648658;1;1
1.122705308;1;1
-0.919164304;0;1
0.885801786;1;0
-0.72516886;1;0
0.982086663;1;1
0.358648868;0;0
0.784995972;1;1
0.056515535;1;1
-0.473280165;0;1
-0.227407267;0;0
-0.186149175;0;1
0.520751711;0;1
0.446673478;1;1
0.243055167;0;0
-0.348764945;0;1
-1.932737606;0;0
0.256831391;1;1
-1.155925158;0;0
0.028539027;0;0
-0.936651963;0;0
-0.521257678;0;1
1.085783412;1;1
-0.889966172;0;0
0.355143854;0;1
0.491332114;0;0
-0.319142348;0;1
-1.147830481;0;1
0.056109502;0;1
1.000990174;0;1
-1.175426281;0;0
1.620056134;1;1
-1.522093828;0;0
-0.893041017;0;1
-0.624687559;0;0
0.972967927;1;0
0.348760351;0;0
1.584665796;1;1
-0.322874532;0;0
-0.292369499;1;1
-0.618286764;0;0
-0.60730422;0;1
-0.071516989;0;1
0.630796736;1;1
2.394868885;1;1
1.745285469;1;1
0.988269549;1;1
0.23791246;0;0
-2.280840512;0;0
-0.06264491;0;1
0.4109785;0;1
-1.084336048;0;1
-0.750856498;0;0
-0.356250519;0;1
-1.586042085;0;0
0.231201115;0;1
1.280162509;1;1
0.583372068;0;0
0.843317303;0;0
0.001934062;0;1
-0.434657306;0;0
-0.444058806;0;1
-1.041550094;0;0
-0.10742282;0;1
-1.345502765;0;1
-1.245393113;0;0
-1.082316576;0;0
-2.230538921;0;0
-0.267251799;0;1
0.74042693;0;1
-0.672660417;0;0
-2.20232748;0;0
1.23722917;0;1
0.59116207;0;0
1.881588579;1;1
-0.389291152;1;1
-0.758427306;0;0
-1.304628541;0;0
-2.283131825;0;0
1.63754291;1;1
-2.086037558;0;0
-0.463833182;0;0
-0.22989804;0;0
0.183632189;0;1
0.586446203;1;1
0.229523548;1;1
0.286450335;0;1
2.013652578;1;1
2.03885951;0;0
-0.93386846;0;0
-1.406762518;0;0
-0.240162478;0;0
0.612088011;0;1
2.804227576;1;1
-0.612967415;1;1
0.580575652;0;1
-0.735483169;0;1
1.500745308;0;1
-0.305683997;1;1
-0.367894916;0;0
-0.69550218;0;1
0.008570467;0;1
0.864715735;1;1
0.914546106;1;1
-0.609807184;0;1
1.310965574;0;1
-0.129654426;0;0
1.60875691;1;1
-0.240333139;0;1
0.30838906;0;1
0.089498017;0;1
-0.653702615;0;0
-1.149031024;0;1
1.885828505;1;1
-0.007744599;0;1
-0.492264221;0;0
-0.029350602;0;0
-0.215880659;0;0
-1.231105114;0;1
0.05711839;1;1
2.219828549;0;0
-1.42285286;0;0
-1.293188637;0;0
-0.920043648;0;0
-0.096686618;0;0
0.052709926;0;1
0.651650855;0;0
-0.929231643;0;0
-0.0185247;0;0
-0.593352217;0;0
0.310191811;0;1
0.082946458;0;0
-1.158911484;0;0
0.720051547;1;0
2.048210708;1;0
-0.421554967;0;0
1.876399964;1;1
-1.0897704;0;0
0.075942603;1;1
0.641439645;0;1
0.870285057;0;1
-0.914833709;0;1
-0.645727579;1;1
-0.164234722;0;1
0.28962753;1;1
-0.142365778;0;0
-0.613301249;0;1
0.047537548;0;0
0.793553284;1;1
1.108106193;1;1
-0.461342865;0;0
-0.612464587;0;0
1.032905368;1;0
-0.786972639;0;1
1.582162912;1;0
-1.4007609;0;0
0.476628262;1;0
-0.670715401;0;1
-0.455608346;0;0
0.406029702;1;1
-0.066115816;0;1
0.965796247;1;1
1.553175802;1;0
1.215837856;1;1
-0.882203597;0;0
-1.473485083;0;0
0.25244872;0;1
-0.246662204;0;1
-0.123386805;0;0
0.37471459;1;1
0.316261499;0;0
-0.169959579;0;0
-0.319358144;0;0
-0.68270438;0;1
2.397660393;1;1
1.188559456;1;1
0.843238669;1;1
0.252466357;1;1
-0.63587841;0;0
0.596666475;1;1
0.828624635;0;1
2.105597124;1;1
0.388547633;1;0
-1.160519519;0;0
-1.025517087;0;0
0.013336765;0;0
-1.574482795;0;0
-0.8850531;0;0
1.187663008;1;1
-0.63725588;0;1
1.290040852;0;0
-0.762919637;0;0
0.150261763;1;1
-1.297730926;0;0
1.696651744;1;1
0.237972182;1;1
0.969777937;1;0
-1.105716957;0;0
1.649582923;1;1
-1.047810553;0;0
0.286521911;1;1
1.6081757;1;1
-1.533042916;0;0
-0.309778194;1;1
1.888189652;1;1
0.386609775;0;0
0.859705307;1;1
-1.33613166;0;0
-0.277090094;0;0
0.135409418;0;1
0.457119164;0;0
1.785322493;1;1
-0.798883619;0;0
-1.563819957;0;0
-0.495613107;1;1
0.448024824;0;0
-1.38077246;0;0
0.326261839;0;1
1.323105113;1;1
-1.31329724;0;0
1.160322413;1;1
-0.627966513;0;0
0.217179457;1;0
0.458252831;1;1
-0.094173858;1;1
-0.179461787;0;0
-0.989129743;0;0
0.375984729;1;1
-1.844197296;0;0
0.185385676;0;1
0.744599603;0;0
-0.004375135;1;1
0.668281196;1;1
-0.66944588;0;0
-0.162166954;0;1
-1.087684518;0;0
-0.310524593;0;0
-0.853807283;0;0
0.765636499;1;1
1.650696046;1;1
0.743994922;0;0
-0.27020764;0;0
-0.692449633;0;1
-0.889359285;0;0
-0.108567989;0;0
-0.487965795;0;0
-0.082624023;1;1
-1.853900306;0;0
-1.41023913;0;0
-0.114225783;0;0
1.094909517;0;1
0.099970566;0;1
1.613913603;1;1
-0.722674551;0;0
-0.80714281;0;1
-0.048231557;0;1
0.790577223;1;1
0.56645059;0;0
-1.538213087;0;0
1.005096258;0;1
-0.280398527;0;1
-1.16323051;0;0
